SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_677_25113-LF,PDU MECH FRAME,EZKE,EZKE,A0000N,0,0,4.0,10165.05,40660.2,42.0,EZKE,1,True,1,,False,False,False
ASM4022_677_25151-P,WIRE SET PDU MK2.1,G0503,G0503,A0000N,43,43,8.0,66.5385,532.31,40.0,G0503,1,False,1,Legbord,False,False,False
ASM4022_677_26242-LF,RACK MOUNT SERVER X86 MK1,LZKL,LZKL,A0000N,51,51,9.0,6815.36,61338.24,129.0,LZKL,1,True,1,,False,False,False
ASM4022_677_33031-LF,ILL GUIDE RAIL SUPPORT,F1204,F1204,A0000N,10,10,3.0,125.72,377.16,9.0,F1204,1,False,1,Legbord,False,False,False
ASM4022_677_44512-LF,PDU PANEL1 HMI MECH SET,EZKE,EZKE,A0000N,40,40,2.0,492.0,984.0,39.0,EZKE,1,True,1,,False,False,False
ASM4022_677_44523-LF,PDU PANEL1 MECH SET,EZKE,EZKE,A0000N,43,43,4.0,2660.7,10642.8,42.0,EZKE,1,True,1,,False,False,False
ASM4022_677_47613-LF,PDU FEEDER CONTROL MECH ASSY,HZKH,HZKH,A0000N,25,25,4.0,425.0,1700.0,40.0,HZKH,1,True,1,,False,False,False
ASM4022_677_47632-LF,PDU CP1 PLATE ASSY,EZKE,EZKE,A0000N,30,30,3.0,550.0,1650.0,40.0,EZKE,1,True,1,,False,False,False
ASM4022_677_48054-LF,EXE SH SSHB1,EZKE,EZKE,A0000N,4,4,2.0,43233.0,86466.0,5.0,EZKE,1,True,1,,False,False,False
ASM4022_677_61781-LF,PDU PANEL2 MECH ASSY,EZKE,EZKE,A0000N,43,43,9.0,586.0,5274.0,42.0,EZKE,1,True,1,,False,False,False
ASM4022_677_61792-LF,PDU CP2 PLATE,E1505,E1505,A0000N,21,21,4.0,190.0,760.0,40.0,E1505,1,False,1,Legbord,False,False,False
ASM4022_677_61962-LF,PDU CP3 PLATE,E1605,E1605,A0000N,24,24,13.0,201.0,2613.0,42.0,E1605,1,False,1,Legbord,False,False,False
ASM4022_677_61972-LF,PDU CP4 PLATE,E1705,E1705,A0000N,21,21,10.0,208.0,2080.0,42.0,E1705,1,False,1,Legbord,False,False,False
ASM4022_677_61981-LF,PDU BASEMENT PLATE MECH SET,E1305,E1305,A0000N,27,27,5.0,482.0,2410.0,40.0,E1305,1,False,1,Legbord,False,False,False
ASM4022_677_63001-LF,HEX SF 900MM,EZKE,EZKE,A0000N,95,95,11.0,16495.0,181445.0,95.0,EZKE,1,True,1,,False,False,False
ASM4022_677_81082-LF,IL FRONT PLATE-1 ASSY,F1304,F1304,A0000N,10,10,3.0,104.27,312.81,9.0,F1304,1,False,1,Legbord,False,False,False
ASM4022_677_81111-LF,IL BACK PLATE ASSY,F1304,F1304,A0000N,10,10,5.0,151.14,755.7,9.0,F1304,1,False,1,Legbord,False,False,False
ASM4022_677_84351-LF,PDU PANEL3 MECH ASSY,EZKE,EZKE,A0000N,42,42,6.0,678.0,4068.0,40.0,EZKE,1,True,1,,False,False,False
ASM4022_677_85321-LF,VS EXE RRIB COVER PANEL ASSY,G1802,G1802,A0000N,0,0,2.0,169.55,339.1,0.0,G1802,1,False,1,Legbord,False,True,False
ASM4022_679_11073-LF,EXE EL BOFC OICC TA,EZKE,EZKE,A0000N,3,3,2.0,8814.75,17629.5,3.0,EZKE,1,True,1,,False,False,False
ASM4022_679_42581-LF,NXE S3MV TFDB TA,EZKE,EZKE,A0000N,2,2,1.0,0.0001,0.0,2.0,EZKE,1,True,1,,False,False,False
ASM4022_679_42591-LF,CLEAN ASSY EXE EL CCFC1+2,E1301,E1301,A0000N,127,127,7.0,154.6545,1082.58,132.0,E1301,1,False,1,Pallet,True,True,False
ASM4022_679_43881-LF,NXE S3MV TFDB SA,EZKE,EZKE,A0000N,2,2,1.0,0.0001,0.0,2.0,EZKE,1,True,1,,False,False,False
ASM4022_682_04422-V91,SIOB5 MK2 GBSL PPCA,HZKH,HZKH,A0000N,35,35,17.0,1629.57,27702.69,134.0,HZKH,1,True,1,,False,False,False
ASM4022_682_04441-V91,SIOB5 MK2 SSRL PPCA,EZKE,EZKE,A0000N,37,37,7.0,1774.7205,12423.04,37.0,EZKE,1,True,1,,False,False,False
ASM4022_682_15832-P,FFCR BP PCA,G1802,G1802,A0000N,9,9,3.0,904.302,2712.91,9.0,G1802,1,False,1,Legbord,False,True,False
ASM4022_682_25201-LF,SIX AXIS PWR AMP3.1(SAPA) PPCA,F1701,F1701,A0000N,63,63,11.0,2035.0,22385.0,130.0,F1701,1,False,1,Pallet,True,True,False
ASM4022_682_43151-LF,EXE WS BM2BF MOT X INT PCA,H0902,H0902,A0000N,15,15,1.0,373.4383,373.44,175.0,H0902,1,False,1,Legbord,False,True,False
ASM4022_682_55301-LF,NXT WS MK6 CB CONNECT C2 PCA,H0202,H0202,A0000N,7,7,1.0,7404.4347,7404.43,19.0,H0202,1,False,1,Pallet,False,True,False
ASM4022_685_13673-LF,DCUR TOP COVER PLATE,F1903,F1903,A0000N,2,2,1.0,187.08,187.08,2.0,F1903,1,False,1,Legbord,False,False,False
ASM4022_685_22093-LF,EXE EL OICC ECHAIN ASSY,EZKE,EZKE,A0000N,1,1,1.0,18056.707,18056.71,1.0,EZKE,1,True,1,,False,False,False
ASM4022_685_25431-LF,MSMR-MECA CONNECTOR PLATE,F0804,F0804,A0000N,2,2,4.0,112.25,449.0,2.0,F0804,1,False,1,Legbord,False,False,False
ASM4022_685_71035-LF,SHB MDRC BOX ASSY,HZKH,HZKH,A0000N,0,0,29.0,342.91,9944.39,29.0,HZKH,1,True,1,,False,False,False
ASM4022_685_71062-LF,SHB MDRC TOP COVER ASSY,HZKH,HZKH,A0000N,5,5,13.0,64.2285,834.97,9.0,HZKH,1,True,1,,False,False,False
ASM4022_685_71063-LF,SHB MDRC TOP COVER ASSY,HZKH,HZKH,A0000N,35,35,46.0,66.0,3036.0,120.0,HZKH,1,True,1,,False,False,False
ASM4022_685_73691-LF,MD BTM PLT WLD ASSY,D1103,D1103,A0000N,12,12,11.0,164.241,1806.65,12.0,D1103,1,False,1,Legbord,False,True,False
ASM4022_685_73711-LF,MD TOP PLT WLD ASSY,D1203,D1203,A0000N,12,12,20.0,282.093,5641.86,12.0,D1203,1,False,1,Legbord,False,True,False
ASM4022_685_83283-LF,IL MIRROR HEATING CONTROL RACK,HZKH,HZKH,A0000N,5,5,1.0,12446.42,12446.42,5.0,HZKH,1,True,1,,False,False,False
ASM4022_690_09851-LF,DY ETHERCAT SM HOUSING ASSY,H0901,H0901,A0000N,45,45,65.0,43.0815,2800.3,1480.0,H0901,1,False,1,Pallet,True,True,False
ASM4022_693_18472-LF,MDBB COVER ASSY,F1103,F1103,A0000N,35,35,5.0,37.15,185.75,126.0,F1103,1,False,1,Pallet,False,False,False
ASM4022_693_29051-LF,HSEC3 BASEFRAME SIDE PROT2,E1002,E1002,A0000N,3,3,5.0,167.58,837.9,3.0,E1002,1,False,1,Legbord,False,True,False
ASM4022_693_29091-LF,HSEC3 BOTTOM PLATE,E1102,E1102,A0000N,3,3,3.0,265.608,796.82,3.0,E1102,1,False,1,Legbord,False,True,False
ASM4022_693_41173-LF,MDBB5 BOX ASSY,E1004,E1004,A0000N,12,12,14.0,41.1495,576.09,42.0,E1004,1,False,1,Legbord,False,False,False
ASM4022_693_41203-LF,MDBB6 BOX ASSY,E1005,E1005,A0000N,12,12,13.0,41.1495,534.94,42.0,E1005,1,False,1,Legbord,False,False,False
ASM4022_693_41243-LF,MDBB7 BOX ASSY,E0502,E0502,A0000N,12,12,3.0,40.5405,121.62,42.0,E0502,1,False,1,Legbord,False,True,False
ASM4022_693_49403-LF,TDSU TOP PLATE ASSY,F1004,F1004,A0000N,4,4,4.0,157.59,630.36,4.0,F1004,1,False,1,Legbord,False,False,False
ASM4022_693_49413-LF,TDSU BOTTOM PLATE ASSY,F0705,F0705,A0000N,4,4,3.0,282.04,846.12,4.0,F0705,1,False,1,Legbord,False,False,False
ASM4022_693_57262-LF,MD ASSR1 REAR PLT WLD ASSY,D1703,D1703,A0000N,12,12,3.0,118.566,355.7,12.0,D1703,1,False,1,Legbord,False,True,False
ASM4022_693_57282-LF,MD ASSR REAR TOP RIB ASSY,D1303,D1303,A0000N,35,35,8.0,25.2315,201.85,38.0,D1303,1,False,1,Legbord,False,True,False
ASM4022_693_57302-LF,MD ASSR REAR BTM RIB ASSY,D1403,D1403,A0000N,35,35,18.0,25.2315,454.17,38.0,D1403,1,False,1,Legbord,False,True,False
ASM4022_693_57322-LF,MD ASSR FNT TOP RIB ASSY,G1203,G1203,A0000N,8,8,8.0,24.61,196.88,8.0,G1203,1,False,1,Legbord,False,False,False
ASM4022_693_57342-LF,MD ASSR FNT BTM RIB ASSY,F1203,F1203,A0000N,8,8,8.0,24.61,196.88,8.0,F1203,1,False,1,Legbord,False,False,False
ASM4022_693_66271-LF,EXT FRAME W300 D300,EZKE,EZKE,A0000N,90,90,12.0,1282.0,15384.0,90.0,EZKE,1,True,1,,False,False,False
ASM4022_693_66414-LF,EXE EL CCFC2 CP1 PLATE,D1104,D1104,A0000N,44,44,16.0,38.3355,613.37,43.0,D1104,1,False,1,Legbord,False,False,False
ASM4022_693_70473-LF,MGSU1 FRONT PLATE BUSH,D0903,D0903,A0000N,10,10,8.0,88.7,709.6,10.0,D0903,1,False,1,Legbord,False,True,False
ASM4022_693_70483-LF,MGSU1 REAR PLATE BUSH,F1405,F1405,A0000N,10,10,8.0,110.45,883.6,10.0,F1405,1,False,1,Legbord,False,False,False
ASM4022_693_70991-LF,SR EI HSEC AIR INLET PANEL,E1202,E1202,A0000N,3,3,3.0,457.464,1372.39,3.0,E1202,1,False,1,Legbord,False,True,False
ASM4022_693_72293-LF,CCSU2 REAR PLATE BUSH,D1303,D1303,A0000N,24,24,15.0,85.09,1276.35,44.0,D1303,1,False,1,Legbord,False,True,False
ASM4022_693_73221-LF,EXE EL FSM REAR SUPPORT BRKT,D0804,D0804,A0000N,5,5,3.0,43.34,130.02,15.0,D0804,1,False,1,Legbord,False,False,False
ASM4022_693_75502-LF,OICC CABINET FRAME,EZKE,EZKE,A0000N,1,1,1.0,4268.29,4268.29,1.0,EZKE,1,True,1,,False,False,False
ASM4022_693_79691-LF,THIN CLIENT POWER SUPPLY UNIT,E1202,E1202,A0000N,41,41,3.0,977.41,2932.23,40.0,E1202,1,False,1,Legbord,False,True,False
ASM4022_693_79722-LF,BESU1 FRONT PLATE BUSH,F1104,F1104,A0000N,9,9,7.0,220.03,1540.21,9.0,F1104,1,False,1,Legbord,False,False,False
ASM4022_693_79733-LF,BESU1 REAR PLATE BUSH,F2003,F2003,A0000N,9,9,2.0,275.46,550.92,9.0,F2003,1,False,1,Legbord,False,False,False
ASM4022_693_82293-LF,BOFC CABINET FRAME,EZKE,EZKE,A0000N,2,2,1.0,4754.2635,4754.26,3.0,EZKE,1,True,1,,False,False,False
ASM4022_693_82323-LF,ENCLOSURE BOX WELD ASSY,J1901,J1901,A0000N,2,2,2.0,545.202,1090.4,2.0,J1901,1,False,1,Pallet,True,True,False
ASM4022_693_84302-LF,MD AOIR REAR PLT WLD ASSY,F1504,F1504,A0000N,5,5,2.0,112.854,225.71,8.0,F1504,1,False,1,Legbord,False,False,False
ASM4022_693_84342-LF,MD AOIR REAR BTM RIB ASSY,F1604,F1604,A0000N,5,5,6.0,47.3445,284.07,8.0,F1604,1,False,1,Legbord,False,False,False
ASM4022_693_84361-LF,MD AOIR REAR TOP RIB ASSY,F1704,F1704,A0000N,2,2,2.0,46.725,93.45,2.0,F1704,1,False,1,Legbord,False,False,False
ASM4022_693_84541-LF,CAB BOTTOM BLOCK ASSY,H0101,H0101,A0000N,93,93,7.0,48.47,339.29,178.0,H0101,1,False,1,Pallet,True,True,False
ASM4022_693_91051-LF,MD AOIR BTM PLT WLD ASSY,F1704,F1704,A0000N,2,2,2.0,459.018,918.04,2.0,F1704,1,False,1,Legbord,False,False,False
ASM4022_693_91071-LF,MD AOIR TOP PLT WLD ASSY,F1804,F1804,A0000N,2,2,2.0,459.018,918.04,2.0,F1804,1,False,1,Legbord,False,False,False
ASM4022_693_91242-LF,MD ASSR2 REAR PLT WLD ASSY,D1803,D1803,A0000N,12,12,3.0,112.4445,337.33,12.0,D1803,1,False,1,Legbord,False,True,False
ASM4022_693_91282-LF,MD ASSR3 REAR PLT WLD ASSY,D1903,D1903,A0000N,4,4,2.0,144.69,289.38,4.0,D1903,1,False,1,Legbord,False,True,False
ASM4022_693_91322-LF,MD ASSR4 REAR PLT WLD ASSY,D2003,D2003,A0000N,4,4,3.0,119.3325,358.0,6.0,D2003,1,False,1,Legbord,False,True,False
ASM4022_693_91482-LF,MD ASCR1 REAR PLT WELD ASSY,E0305,E0305,A0000N,8,8,2.0,151.4205,302.84,8.0,E0305,1,False,1,Legbord,False,False,False
ASM4022_693_91502-LF,MD SCR1 REAR TOP RIB ASSY,E0404,E0404,A0000N,8,8,1.0,53.0775,53.08,8.0,E0404,1,False,1,Legbord,False,False,False
ASM4022_693_91522-LF,MD SCR1 REAR BTM RIB ASSY,E0405,E0405,A0000N,8,8,2.0,53.0775,106.16,8.0,E0405,1,False,1,Legbord,False,False,False
ASM4022_693_91542-LF,MD SCR1 FNT TOP RIB ASSY,E0405,E0405,A0000N,8,8,2.0,52.626,105.25,8.0,E0405,1,False,1,Legbord,False,False,False
ASM4022_693_93532-LF,TASU FRAME,E1405,E1405,A0000N,1,1,1.0,335.56,335.56,1.0,E1405,1,False,1,Legbord,False,False,False
ASM4022_693_93804-LF,DSCR BOTTOM PLATE ASSY,G1801,G1801,A0000N,3,3,2.0,188.17,376.34,3.0,G1801,1,False,1,Pallet,True,True,False
ASM4022_693_95042-LF,FTSU FRONT PLATE BUSH,G1202,G1202,A0000N,2,2,1.0,204.0,204.0,3.0,G1202,1,False,1,Legbord,False,True,False
ASM4022_693_97772-LF,DSCR TOP PLATE ASSY,D0601,D0601,A0000N,3,3,3.0,112.182,336.55,3.0,D0601,1,False,1,Pallet,True,True,False
ASM4022_693_99841-LF,EXE SUBFAB FLOW BTM 126TE ASSY,D0804,D0804,A0000N,5,5,1.0,74.592,74.59,5.0,D0804,1,False,1,Legbord,False,False,False
ASM4022_693_99902-LF,MD SCR1 FNT BTM RIB ASSY,E0405,E0405,A0000N,8,8,4.0,52.626,210.5,8.0,E0405,1,False,1,Legbord,False,False,False
ASM4022_694_01211-LF,ILSR SIDE WALL 9HE L,F1404,F1404,A0000N,10,10,6.0,74.52,447.12,9.0,F1404,1,False,1,Legbord,False,False,False
ASM4022_694_01221-LF,ILSR SIDE WALL 9HE R,F1404,F1404,A0000N,10,10,1.0,73.54,73.54,9.0,F1404,1,False,1,Legbord,False,False,False
ASM4022_694_01232-LF,ILSR COVER PLATE,D0304,D0304,A0000N,10,10,2.0,188.51,377.02,9.0,D0304,1,False,1,Legbord,False,False,False
ASM4022_694_16323-LF,DCUR SIDE WALL 9HE R,D0603,D0603,A0000N,2,2,2.0,254.07,508.14,2.0,D0603,1,False,1,Legbord,False,True,False
ASM4022_694_16731-LF,EXE CARM FLOW PLATE MONO,E1805,E1805,A0000N,8,8,5.0,147.82,739.1,8.0,E1805,1,False,1,Legbord,False,False,False
ASM4022_694_16971-LF,SR EI FLOW BLOCKER 1HE ASSY,LZKL,LZKL,A0000N,38,38,12.0,76.86,922.32,114.0,LZKL,1,True,1,,False,False,False
ASM4022_694_18511-LF,DCUR BOTTOM COVER PLATE,E0204,E0204,A0000N,2,2,2.0,114.31,228.62,2.0,E0204,1,False,1,Legbord,False,False,False
ASM4022_694_18653-LF,DCUR SIDE WALL 9HE L,F2103,F2103,A0000N,2,2,1.0,246.66,246.66,2.0,F2103,1,False,1,Legbord,False,False,False
ASM4022_694_28821-LF,WPMR BOTTOM PLATE POM,E0903,E0903,A0000N,0,0,1.0,127.7,127.7,0.0,E0903,1,False,1,Legbord,False,True,False
ASM4022_694_34331-LF,BOFC ECHAIN LIFT BRKT,E1801,E1801,A0000N,2,2,3.0,676.389,2029.17,2.0,E1801,1,False,1,Pallet,True,True,False
ASM4022_694_36701-LF,MOU MK2 HOUSING,HZKH,HZKH,A0000N,86,86,118.0,70.84,8359.12,696.0,HZKH,1,True,1,,False,False,False
ASM4022_694_36922-LF,BOFC OICC BUNDLE TOOL BRKT,E1501,E1501,A0000N,3,3,10.0,270.1125,2701.13,6.0,E1501,1,False,1,Pallet,True,True,False
ASM4022_694_37761-LF,MD BOTTOM BP,E0804,E0804,A0000N,3,3,1.0,51.198,51.2,3.0,E0804,1,False,1,Legbord,False,False,False
ASM4022_694_41771-LF,MD SCR2 REAR TOP RIB ASSY,E0605,E0605,A0000N,2,2,2.0,53.0775,106.16,2.0,E0605,1,False,1,Legbord,False,False,False
ASM4022_694_41791-LF,MD SCR2 REAR BTM RIB ASSY,E0605,E0605,A0000N,2,2,2.0,53.0775,106.16,2.0,E0605,1,False,1,Legbord,False,False,False
ASM4022_694_41811-LF,MD SCR2 FNT TOP RIB ASSY,E0605,E0605,A0000N,2,2,3.0,53.0775,159.23,2.0,E0605,1,False,1,Legbord,False,False,False
ASM4022_694_41831-LF,MD SCR2 FNT BTM RIB ASSY,E0605,E0605,A0000N,2,2,2.0,53.0775,106.16,2.0,E0605,1,False,1,Legbord,False,False,False
ASM4022_694_42082-LF,STANDING PLATFORM WELD ASSY,E1502,E1502,A0000N,2,2,2.0,219.4815,438.96,2.0,E1502,1,False,1,Legbord,False,True,False
ASM4022_694_43721-LF,TOP CONNECTION PLATE 2 IP-SEAL,HZKH,HZKH,A0000N,1,1,2.0,630.0,1260.0,1.0,HZKH,1,True,1,,False,False,False
ASM4022_694_43722-LF,TOP CONNECTION PLATE 2 IP-SEAL,H1401,H1401,A0000N,6,6,7.0,753.5,5274.5,6.0,H1401,1,False,1,Pallet,True,True,False
ASM4022_694_44911-LF,SHB CBL BRKT WA,E0904,E0904,A0000N,3,3,1.0,58.4955,58.5,3.0,E0904,1,False,1,Legbord,False,False,False
ASM4022_694_45261-LF,MD CAB SMI CAGE WA,E1004,E1004,A0000N,3,3,3.0,110.2395,330.72,3.0,E1004,1,False,1,Legbord,False,False,False
ASM4022_694_46953-LF,DOOR BLIND PLATE WA,D1202,D1202,A0000N,7,7,1.0,192.654,192.65,7.0,D1202,1,False,1,Legbord,False,True,False
ASM4022_694_47122-LF,FGRB BACKPLATE ASSY,E0005,E0005,A0000N,17,17,6.0,147.98,887.88,17.0,E0005,1,False,1,Legbord,False,False,False
ASM4022_694_47312-LF,FRONT TOP HORZ BP WA,E1104,E1104,A0000N,7,7,1.0,598.6155,598.62,7.0,E1104,1,False,1,Legbord,False,False,False
ASM4022_694_47321-LF,FRONT TOP BLIND PLATE S,D1101,D1101,A0000N,3,3,3.0,71.211,213.63,3.0,D1101,1,False,1,Pallet,True,True,False
ASM4022_694_49371-LF,BUSBAR MP SA,E1204,E1204,A0000N,3,3,1.0,64.806,64.81,3.0,E1204,1,False,1,Legbord,False,False,False
ASM4022_694_49381-LF,COPPER BUSBAR 15X10 L 635MM,E0604,E0604,A0000N,3,3,1.0,104.8845,104.88,3.0,E0604,1,False,1,Legbord,False,False,False
ASM4022_694_49951-LF,COPPER BUSBAR 15X10 L 680MM,E0604,E0604,A0000N,3,3,2.0,103.4565,206.91,6.0,E0604,1,False,1,Legbord,False,False,False
ASM4022_694_51112-LF,AMDC RPS BRACKET R SA,D1301,D1301,A0000N,7,7,1.0,118.146,118.15,7.0,D1301,1,False,1,Pallet,True,True,False
ASM4022_694_51431-LF,ASCR CBL BRKT,E1304,E1304,A0000N,3,3,1.0,58.4955,58.5,3.0,E1304,1,False,1,Legbord,False,False,False
ASM4022_694_51441-LF,TOP CBL BRKT,E1304,E1304,A0000N,3,3,1.0,58.4955,58.5,3.0,E1304,1,False,1,Legbord,False,False,False
ASM4022_694_52212-LF,RIGHT REAR MP SA,D1401,D1401,A0000N,7,7,1.0,130.2105,130.21,7.0,D1401,1,False,1,Pallet,True,True,False
ASM4022_694_53361-LF,COPPER BUSBAR 15X10 L 914MM,E0604,E0604,A0000N,3,3,1.0,104.8845,104.88,3.0,E0604,1,False,1,Legbord,False,False,False
ASM4022_694_53392-LF,SPD BRACKET SA,E1404,E1404,A0000N,7,7,3.0,76.5975,229.79,7.0,E1404,1,False,1,Legbord,False,False,False
ASM4022_694_53462-LF,LEFT REAR MP SA,D1501,D1501,A0000N,7,7,3.0,118.1565,354.47,7.0,D1501,1,False,1,Pallet,True,True,False
ASM4022_694_54792-LF,FGRB FRONTPLATE WELD ASSY,E0105,E0105,A0000N,17,17,1.0,173.52,173.52,17.0,E0105,1,False,1,Legbord,False,False,False
ASM4022_694_55392-LF,OICC ENCLOSURE BOX WELD ASSY,E1901,E1901,A0000N,1,1,1.0,618.366,618.37,1.0,E1901,1,False,1,Pallet,True,True,False
ASM4022_694_58732-LF,EXE MD ODSU REAR PLATE BUSH,E0205,E0205,A0000N,3,3,2.0,260.01,520.02,3.0,E0205,1,False,1,Legbord,False,False,False
ASM4022_694_58992-LF,AMDC1 HIP TCP SA,E1804,E1804,A0000N,4,4,2.0,260.064,520.13,4.0,E1804,1,False,1,Legbord,False,False,False
ASM4022_694_59042-LF,AMDC1 LIP TCP WA,G1202,G1202,A0000N,0,0,1.0,500.8395,500.84,0.0,G1202,1,False,1,Legbord,False,True,False
ASM4022_694_59043-LF,AMDC1 LIP TCP WA,E1904,E1904,A0000N,4,4,1.0,500.8395,500.84,4.0,E1904,1,False,1,Legbord,False,False,False
ASM4022_694_69351-LF,6HE-42TE REDU WELD ASSY,D0904,D0904,A0000N,5,5,3.0,559.02,1677.06,5.0,D0904,1,False,1,Legbord,False,False,False
ASM4022_694_70651-LF,OICC ECHAIN LIFT BRKT,E2001,E2001,A0000N,1,1,1.0,272.748,272.75,1.0,E2001,1,False,1,Pallet,True,True,False
ASM4022_694_77932-LF,FLOW DUCT 342MM PLATE ASSY,G0503,G0503,A0000N,1,1,1.0,138.99,138.99,1.0,G0503,1,False,1,Legbord,False,False,False
ASM4022_694_78782-LF,OICC SEISMIC MOUNT BRKT ASSY,E2002,E2002,A0000N,3,3,3.0,293.78,881.34,3.0,E2002,1,False,1,Legbord,False,True,False
ASM4022_694_82482-LF,OICC STANDING PLATFORM WELD AS,E1802,E1802,A0000N,1,1,1.0,362.67,362.67,1.0,E1802,1,False,1,Legbord,False,True,False
ASM4022_694_84622-LF,ACR BACK PLATE,F0704,F0704,A0000N,0,0,10.0,113.05,1130.5,10.0,F0704,1,False,1,Legbord,False,False,False
ASM4022_694_88631-LF,GUTTER W40 H1800,LZKL,LZKL,A0000N,44,44,6.0,73.752,442.51,43.0,LZKL,1,True,1,,False,False,False
ASM4022_697_00693-LF,EXE WSMR BOTTOM PLATE,D1204,D1204,A0000N,37,37,20.0,133.59,2671.8,37.0,D1204,1,False,1,Legbord,False,False,False
ASM4022_698_02502-LF,EXE EL CCFC2 CP3 PRESS ASSY,F0803,F0803,A0000N,44,44,15.0,69.4785,1042.18,43.0,F0803,1,False,1,Legbord,False,False,False
ASM4022_698_02851-LF,EXE EI GUIDE FRAME,HZKH,HZKH,A0000N,14,14,9.0,1618.22,14563.98,54.0,HZKH,1,True,1,,False,False,False
ASM4022_698_03043-LF,REAR PROTECTION ASSY TOP SA,E1604,E1604,A0000N,7,7,1.0,102.0495,102.05,11.0,E1604,1,False,1,Legbord,False,False,False
ASM4022_698_05171-LF,RH NXE CONTROL CAB DOOR,EZKE,EZKE,A0000N,0,0,2.0,361.5675,723.14,0.0,EZKE,1,True,1,,False,False,False
ASM4022_698_07921-LF,NXE FF EEDR ASSY MK4.1,EZKE,EZKE,A0000N,40,40,5.0,24174.36,120871.8,40.0,EZKE,1,True,1,,False,False,False
ASM4022_698_08151-LF,FLOW DUCT 290MM BTM PLATE ASSY,E1902,E1902,A0000N,1,1,1.0,248.88,248.88,1.0,E1902,1,False,1,Legbord,False,True,False
ASM4022_698_08182-LF,FLOW DUCT 415MM BTM PLATE ASSY,E2002,E2002,A0000N,1,1,1.0,145.34,145.34,1.0,E2002,1,False,1,Legbord,False,True,False
ASM4022_698_12883-LF,FF FB FW EEDR SERC2CP1 CBL,E0703,E0703,A0000N,38,38,10.0,81.84,818.4,38.0,E0703,1,False,1,Legbord,False,True,False
ASM4022_698_12903-LF,FF CS FB RW2 EEDR SERC2CP1 CBL,E0903,E0903,A0000N,38,38,10.0,82.66,826.6,38.0,E0903,1,False,1,Legbord,False,True,False
ASM4022_698_12913-LF,FF CS FB RW1 EEDR SERC2CP1 CBL,E0703,E0703,A0000N,38,38,10.0,82.2,822.0,38.0,E0703,1,False,1,Legbord,False,True,False
ASM4022_698_12923-LF,FF CS RB RW2 EEDR SERC2CP1 CBL,E0603,E0603,A0000N,38,38,10.0,82.2,822.0,38.0,E0603,1,False,1,Legbord,False,True,False
ASM4022_698_26341-LF,MDRC TOP CB COVER 1,J0602,J0602,A0000N,0,0,1.0,58.32,58.32,0.0,J0602,1,False,1,Legbord,False,True,False
ASM4022_698_26432-LF,BLIND PLATE 126TE 2HE TOP V2,E0704,E0704,A0000N,5,5,2.0,45.73,91.46,5.0,E0704,1,False,1,Legbord,False,False,False
ASM4022_698_29023-LF,EL OIMC CP PRESS ASSY,H0802,H0802,A0000N,5,5,2.0,419.79,839.58,5.0,H0802,1,False,1,Legbord,False,True,False
ASM4022_698_44962-LF,SHB-BL MK2.0 BOX,J0402,,A0000N,1,1,26.0,104.265,2710.89,1.0,J0402,1,False,1,Legbord,False,True,False
ASM4022_698_45022-LF,SHB-BL MK2.0 RIGHT COVER WELD,F1803,F1803,A0000N,1,1,14.0,80.115,1121.61,1.0,F1803,1,False,1,Pallet,False,False,False
ASM4022_698_48251-LF,NXE SMCB-RH BACK PLATE ASSY,G2002,G2002,A0000N,33,33,6.0,87.738,526.43,30.0,G2002,1,False,1,Legbord,False,True,False
ASM4022_698_50283-LF,SIU ENCL TOP PLT ASSY,F1702,F1702,A0000N,14,14,21.0,77.05,1618.05,38.0,F1702,1,False,1,Pallet,False,True,False
ASM4022_698_50302-LF,MDRC CBBA FRONT COVER ASSY,F2104,F2104,A0000N,0,0,1.0,117.08,117.08,0.0,F2104,1,False,1,Legbord,False,False,False
ASM4022_698_50331-LF,MDRC FRONT COVER PLATE MIDDLE,F1605,F1605,A0000N,0,0,1.0,82.38,82.38,0.0,F1605,1,False,1,Legbord,False,False,False
ASM4022_698_50352-LF,MDRC CBTA FRONT PLATE ASSY,F1705,F1705,A0000N,0,0,2.0,113.07,226.14,1.0,F1705,1,False,1,Legbord,False,False,False
ASM4022_698_50402-LF,MDRC SHB FAN PLATE,H0501,H0501,A0000N,0,0,16.0,204.75,3276.0,16.0,H0501,1,False,1,Pallet,True,True,False
ASM4022_698_57051-LF,DOOR BLIND PLATE ASSY IP-SEAL,E1704,E1704,A0000N,1,1,3.0,468.5,1405.5,1.0,E1704,1,False,1,Legbord,False,False,False
ASM4022_698_57052-LF,DOOR BLIND PLATE ASSY IP-SEAL,E0003,E0003,A0000N,6,6,3.0,513.82,1541.46,6.0,E0003,1,False,1,Legbord,False,True,False
ASM4022_698_73532-LF,MDRC SHB MNTNG BRACKET RIGHT,G2002,G2002,A0000N,0,0,1.0,98.7,98.7,0.0,G2002,1,False,1,Legbord,False,True,False
