SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_636_65421-LF,2D INTERFACE BOTTOM,E1603,E1603,A0000N,15,15,22.0,39.9,877.8,102.0,E1603,1,False,1,Legbord,False,True,False
ASM4022_636_65791-LF,MDRC CBB MECH,EZKE,EZKE,A0000N,0,0,1.0,149.625,149.63,0.0,EZKE,1,True,1,,False,False,False
ASM4022_636_85861-LF,MSMR-MECA FRONT PLATE ASSY,F0804,F0804,A0000N,3,3,2.0,98.01,196.02,2.0,F0804,1,False,1,Legbord,False,False,False
ASM4022_636_87272-LF,RH CONTROL RACK SUB ASSY,HZKH,HZKH,A0000N,24,24,6.0,8062.6833,48376.1,25.0,HZKH,1,True,1,,False,False,False
ASM4022_636_87822-LF,RH SMCB RAIL SUPPORT,F0602,F0602,A0000N,33,33,16.0,58.05,928.8,60.0,F0602,1,False,1,Pallet,False,True,False
ASM4022_636_88282-LF,WH NXE VRPR COVER PLATE,EZKE,EZKE,A0000N,27,27,2.0,67.5675,135.14,25.0,EZKE,1,True,1,,False,False,False
ASM4022_636_98632-LF,ILSB4 BOX,H0302,H0302,A0000N,14,14,39.0,48.384,1886.98,380.0,H0302,1,False,1,Pallet,False,True,False
ASM4022_640_25942-LF,WH NXE MPAC BRKBOX BOX1,E0602,E0602,A0000N,7,7,18.0,69.38,1248.84,35.0,E0602,1,False,1,Legbord,False,True,False
ASM4022_640_27022-LF,RH SMCB FRONT PLATE,F0702,F0702,A0000N,33,33,8.0,75.6525,605.22,30.0,F0702,1,False,1,Legbord,False,True,False
ASM4022_640_27031-LF,RH SMCB BACK PLATE,F0002,F0002,A0000N,0,0,1.0,246.92,246.92,0.0,F0002,1,False,1,Legbord,False,True,False
ASM4022_640_27042-LF,RH SMCB COVER PLATE TOP,F0801,F0801,A0000N,33,33,10.0,94.67,946.7,30.0,F0801,1,False,1,Pallet,True,True,False
ASM4022_640_27052-LF,RH SMCB COVER PLATE BOTTOM,F1601,F1601,A0000N,33,33,11.0,94.67,1041.37,30.0,F1601,1,False,1,Pallet,True,True,False
ASM4022_640_30641-LF,HIPA COVER WELD ASSY,D0301,D0301,A0000N,0,0,3.0,60.15,180.45,0.0,D0301,1,False,1,Pallet,True,True,False
ASM4022_640_48841-LF,BLIND PANEL 1HE/126TE,F0904,F0904,A0000N,25,25,50.0,19.31,965.5,94.0,F0904,1,False,1,Legbord,False,False,False
ASM4022_640_49071-LF,BLIND PANEL 4HE/126TE,F0904,F0904,A0000N,24,24,5.0,34.01,170.05,24.0,F0904,1,False,1,Legbord,False,False,False
ASM4022_640_60571-LF,MDRC TOP CB COVER,F1002,F1002,A0000N,0,0,5.0,82.4,412.0,4.0,F1002,1,False,1,Legbord,False,True,False
ASM4022_640_82613-LF,NXE3350_EU-MAINS CONN BOX TOP,HZKH,HZKH,A0000N,2,2,7.0,946.5095,6625.57,5.0,HZKH,1,True,1,,False,False,False
ASM4022_640_82622-LF,NXE3350_EU-MAINS CONN BOX MID,HZKH,HZKH,A0000N,2,2,11.0,919.1486,10110.63,5.0,HZKH,1,True,1,,False,False,False
ASM4022_640_82632-LF,NXE3350_EU-MAINS CONN BOX BOT,EZKE,EZKE,A0000N,1,1,4.0,1063.9295,4255.72,4.0,EZKE,1,True,1,,False,False,False
ASM4022_640_89302-LF,MDRC BACK PLATE MECH ASSY,EZKE,EZKE,A0000N,0,0,10.0,403.88,4038.8,10.0,EZKE,1,True,1,,False,False,False
ASM4022_640_89451-LF,MDRC BOTTOM PLATE,HZKH,HZKH,A0000N,0,0,1.0,200.53,200.53,0.0,HZKH,1,True,1,,False,False,False
ASM4022_640_89503-LF,MDRC OP. INTERF. PANEL,D1402,D1402,A0000N,0,0,1.0,327.62,327.62,0.0,D1402,1,False,1,Legbord,False,True,False
ASM4022_640_90731-LF,MDRC TOP CBB MNT PLATE,G0502,G0502,A0000N,0,0,2.0,223.16,446.32,0.0,G0502,1,False,1,Legbord,False,True,False
ASM4022_640_90741-LF,MDRC TOP CB COVER 2,J0402,J0402,A0000N,0,0,1.0,42.987,42.99,0.0,J0402,1,False,1,Legbord,False,True,False
ASM4022_640_90752-LF,MDRC TOP CB COVER 1,J0502,J0502,A0000N,0,0,1.0,231.87,231.87,0.0,J0502,1,False,1,Legbord,False,True,False
ASM4022_640_91181-LF,MDRC OP. INTERF. PANEL COVER,D1502,D1502,A0000N,0,0,3.0,48.72,146.16,0.0,D1502,1,False,1,Legbord,False,True,False
ASM4022_640_94492-LF,TFDB BOX,EZKE,EZKE,A0000N,36,36,11.0,37.94,417.34,186.0,EZKE,1,True,1,,False,False,False
ASM4022_640_94501-LF,TFDB COVER,E0801,E0801,A0000N,37,37,21.0,61.89,1299.69,185.0,E0801,1,False,1,Pallet,True,True,False
