SKU,Description,Actual Location,Location Type Name,Status,In Fixed Locations,In Inventory Locations
ASM0051_240_06162-P,WIRE SET MDRC3800 CBM ASSY 022,G0902,Legbord,filled,Yes,Yes
ASM0051_240_06172-P,WIRE SET MDRC3800 CBT ASSY 022,HZKH,,,Yes,Yes
ASM0051_240_06182-P,WIRE SET MAIN MDRC3800 BPA ASS,F0301,Pallet,filled,Yes,Yes
ASM0051_240_06631-LF,PDU PANEL2 WIRE DUCTS,EZKE,,,Yes,Yes
ASM0051_240_06641-LF,PDU PANEL3 WIRE DUCTS,EZKE,,,Yes,Yes
ASM0051_240_06652-LF,PDU PANEL4 WIRE DUCTS,J0902,Legbord,filled,Yes,Yes
ASM0051_240_30691-LF,2D INTERFACE BOX ASSY,EZKE,,,Yes,Yes
ASM0051_240_86611-P,WIRE LIST_MDPC1 DIN ASSY 1 PAR,HZKH,,,Yes,Yes
ASM0051_240_86651-P,WIRE LIST_MDPC1 DIN ASSY 5,I0801,Pallet,filled,Yes,Yes
ASM0051_240_86661-P,WIRE LIST_MDPC1 DIN ASSY 6,H0201,Pallet,filled,Yes,Yes
ASM0051_240_86681-P,WIRE LIST_MDPC1 PE RAIL,HZKH,,,Yes,Yes
ASM0051_240_86691-P,WIRE LIST_MDPC1 REMAINING WIRE,J0401,Pallet,filled,Yes,No
ASM0051_438_35234-LF,PVC WIRE 95QMM 600V BK,K1502A,Legbord,filled,Yes,Yes
ASM0051_438_45038-LF,XT5S 400A BREAKING PART 4P 100,F1104,Legbord,filled,Yes,Yes
ASM0051_694_37063-LF,REAR PROTECTION ASSY MID,D1701,Pallet,filled,Yes,Yes
ASM0051_694_46832-LF,BASE PLATE W800 D900 + WHEELS,EZKE,,,Yes,Yes
ASM0051_698_53764-LF,RH NXE CONTROL CABINET ASSY AN,EZKE,,,Yes,Yes
ASM0051_704_23641-LF,BASE PLATE W900 D1200 + WHEELS,EZKE,,,Yes,Yes
ASM0051_704_78471-LF,BASE PLATE 126TE 900MM + WHEEL,EZKE,,,Yes,Yes
ASM0051_716_02442-LF,WIRE DUCT 60X40 350MM,E0302,Legbord,filled,Yes,Yes
ASM0051_716_02471-LF,WIRE DUCT 60X60 657MM,G0102,Legbord,filled,Yes,Yes
ASM4022_430_06531-LF,CONNECTOR STICKER,K0803,Pallet,empty,Yes,Yes
ASM4022_430_23602-LF,TRACKBALL B5XUSB,I0502,Legbord,filled,Yes,Yes
ASM4022_438_05890-LF,DOUBLE-LAYER 2.7V 20% 25F RA,EZKE,,,Yes,Yes
ASM4022_438_07168-LF,3 PHASE MAINS FILTER 520V/200A,HZKH,,,Yes,Yes
ASM4022_438_07171-LF,3P+N  EMC FILTER 440VAC/180A,EZKE,,,Yes,Yes
ASM4022_438_07173-LF,3P+N 530VAC/250A N DISC SCREW,HZKH,,,Yes,Yes
ASM4022_438_07206-LF,3PH MAINS FILTER 520V/200A,I1101,Pallet,filled,Yes,Yes
ASM4022_438_32582-LF,PWR CONT REC 2.5-4QMM,K1503,Pallet,filled,Yes,Yes
ASM4022_438_34301-LF,GROUND RAIL MS M5,F0204,Legbord,filled,Yes,Yes
ASM4022_438_34320-LF,DIN RAIL TH TYPE 15X5.5 PERF,LZKL,,,Yes,Yes
ASM4022_438_34484-LF,BUSBAR CIRCUIT BREAKER ADAPTER,HZKH,,,Yes,Yes
ASM4022_438_35190-LF,PVC WIRE 10QMM 600V BK,K1502A,Legbord,filled,Yes,Yes
ASM4022_438_35196-LF,PVC WIRE 10QMM 600V BU,K1502A,Legbord,filled,Yes,Yes
ASM4022_438_35200-LF,PVC WIRE 16QMM 600V BK,K1602A,Legbord,filled,Yes,Yes
ASM4022_438_35204-LF,PVC WIRE 16QMM 600V BU,K1602A,Legbord,filled,Yes,Yes
ASM4022_438_35226-LF,PVC WIRE 25QMM 600V BU,K1802A,Legbord,filled,Yes,Yes
ASM4022_438_35229-LF,PVC WIRE 25QMM 600V YE-GN,K1702A,Legbord,filled,Yes,Yes
ASM4022_438_35235-LF,PVC WIRE 95QMM 600V BU,EZKE,,,Yes,Yes
